10		4.56
20		9.36
30		13.98
40		18.55
50		25.32
60		31.33
70		32.99
80		39.01
90		41.95
100		53.31
110		48.09
120		56.16
130		64.68
140		70.64
150		73.8
160		91.01
170		87.49
180		90.82
190		87.38
200		94.77
210		110.99
220		112.69
230		112.48
240		120.02
250		124.47
260		132.13
270		129.27
280		136.16
290		160.17
300		143.82
310		152.52
320		152.68
330		165.14
340		175.67
350		175.53
360		171.25
370		199.75
380		194.01
390		199.19
400		207.17
410		206.54
420		207.68
430		223.14
440		220.97
450		189.79
460		244.89
470		234.26
480		250.65
490		238.86
500		244.29
510		245.12
520		264.68
530		271.52
540		269.46
550		251.43
560		302.07
570		270.86
580		298.62
590		302.65
600		292.63
610		299.15
620		284.43
630		319.69
640		321.67
650		350.57
660		361.88
670		320.47
680		330.6
690		332.56
700		341.41
710		361.99
720		335.91
730		389.13
740		353.85
750		393.39
760		356.53
770		408.48
780		390.22
790		414.43
800		411.96
810		371.15
820		379.41
830		379.45
840		382.8
850		429.76
860		420.67
870		439.52
880		429.9
890		417.88
900		464.73
910		444.31
920		425.08
930		478.96
940		451.07
950		473.32
960		470.6
970		505.64
980		513.01
990		473.89
1000		526.81
