iterations,bucket0,magnetism0,bucket1,magnetism1,bucket2,magnetism2,bucket3,magnetism3,bucket4,magnetism4,bucket5,magnetism5,bucket6,magnetism6,bucket7,magnetism7,bucket8,magnetism8,bucket9,magnetism9
41,2,0.969136,0,0.959877,26,0.939815,136,0.939815,292,0.939815,521,0.939815,874,0.945988,1328,0.936728,2051,0.936728,2067,0.939815
42,2,0.969136,0,0.959877,18,0.938272,128,0.938272,284,0.938272,513,0.938272,866,0.944444,1320,0.935185,2043,0.935185,2059,0.938272
43,2,0.969136,0,0.959877,14,0.936728,120,0.936728,276,0.936728,505,0.936728,858,0.942901,1312,0.933642,2035,0.933642,2055,0.936728
44,2,0.969136,0,0.959877,6,0.935185,112,0.935185,268,0.935185,497,0.935185,850,0.941358,1304,0.932099,2031,0.932099,2047,0.935185
45,2,0.967593,0,0.959877,6,0.935185,104,0.933642,264,0.933642,489,0.933642,842,0.939815,1296,0.930556,2027,0.930556,2039,0.933642
46,2,0.967593,0,0.959877,6,0.935185,96,0.932099,272,0.935185,481,0.932099,838,0.938272,1288,0.929012,2019,0.929012,2047,0.935185
47,2,0.967593,0,0.959877,6,0.935185,88,0.930556,264,0.933642,477,0.930556,830,0.936728,1280,0.927469,2011,0.927469,2039,0.933642
48,2,0.967593,0,0.959877,6,0.935185,84,0.929012,256,0.932099,469,0.929012,822,0.935185,1288,0.929012,2019,0.929012,2031,0.932099
49,2,0.967593,0,0.959877,2,0.933642,80,0.927469,252,0.930556,461,0.927469,814,0.933642,1280,0.927469,2011,0.927469,2023,0.930556
50,2,0.967593,0,0.959877,2,0.933642,72,0.925926,244,0.929012,453,0.925926,810,0.932099,1276,0.925926,2019,0.929012,2015,0.929012
51,2,0.967593,0,0.959877,2,0.933642,64,0.924383,236,0.927469,445,0.924383,806,0.930556,1268,0.924383,2011,0.927469,2007,0.927469
52,2,0.967593,0,0.959877,2,0.933642,56,0.92284,228,0.925926,453,0.925926,798,0.929012,1260,0.92284,2003,0.925926,1999,0.925926
53,2,0.967593,0,0.959877,10,0.935185,48,0.921296,228,0.924383,445,0.924383,790,0.927469,1252,0.921296,1995,0.924383,1991,0.924383
54,2,0.967593,0,0.959877,2,0.933642,40,0.919753,220,0.92284,437,0.92284,782,0.925926,1244,0.919753,1987,0.92284,1983,0.92284
55,2,0.967593,0,0.959877,2,0.933642,32,0.91821,212,0.921296,429,0.921296,774,0.924383,1236,0.91821,1979,0.921296,1975,0.921296
56,2,0.967593,0,0.959877,2,0.933642,24,0.916667,204,0.919753,421,0.919753,766,0.92284,1228,0.916667,1971,0.919753,1967,0.919753
57,2,0.967593,0,0.959877,2,0.933642,16,0.915123,196,0.91821,413,0.91821,758,0.921296,1224,0.915123,1963,0.91821,1959,0.91821
58,2,0.967593,0,0.959877,2,0.933642,8,0.91358,188,0.916667,405,0.916667,766,0.92284,1216,0.91358,1959,0.916667,1951,0.916667
59,2,0.967593,0,0.959877,2,0.933642,0,0.912037,180,0.915123,397,0.915123,758,0.921296,1208,0.912037,1951,0.915123,1959,0.91821
60,2,0.967593,0,0.959877,2,0.933642,0,0.912037,172,0.91358,393,0.91358,766,0.92284,1200,0.910494,1943,0.91358,1951,0.916667
61,2,0.967593,0,0.959877,2,0.933642,0,0.912037,164,0.912037,385,0.912037,758,0.921296,1192,0.908951,1935,0.912037,1947,0.915123
62,2,0.967593,0,0.959877,2,0.933642,0,0.912037,156,0.910494,377,0.910494,750,0.919753,1200,0.910494,1927,0.910494,1939,0.91358
63,2,0.967593,0,0.959877,2,0.933642,0,0.912037,148,0.908951,369,0.908951,742,0.91821,1192,0.908951,1919,0.908951,1943,0.915123
64,2,0.967593,0,0.959877,2,0.933642,0,0.912037,140,0.907407,361,0.907407,734,0.916667,1184,0.907407,1911,0.907407,1935,0.91358
65,2,0.967593,0,0.959877,2,0.933642,0,0.912037,140,0.905864,353,0.905864,726,0.915123,1176,0.905864,1903,0.905864,1931,0.912037
66,2,0.967593,0,0.959877,2,0.933642,0,0.912037,132,0.904321,345,0.904321,722,0.91358,1168,0.904321,1895,0.904321,1923,0.910494
67,2,0.967593,0,0.959877,2,0.933642,0,0.912037,124,0.902778,337,0.902778,714,0.912037,1160,0.902778,1887,0.902778,1915,0.908951
68,2,0.967593,0,0.959877,2,0.933642,8,0.91358,116,0.901235,329,0.901235,710,0.910494,1152,0.901235,1879,0.901235,1907,0.907407
69,2,0.967593,0,0.959877,2,0.933642,0,0.912037,108,0.899691,321,0.899691,702,0.908951,1160,0.902778,1871,0.899691,1899,0.905864
70,2,0.967593,0,0.959877,2,0.933642,0,0.912037,108,0.898148,317,0.898148,694,0.907407,1152,0.901235,1863,0.898148,1891,0.904321
71,2,0.967593,0,0.959877,2,0.933642,0,0.912037,100,0.896605,309,0.896605,690,0.905864,1144,0.899691,1855,0.896605,1891,0.902778
72,2,0.967593,0,0.959877,2,0.933642,0,0.912037,108,0.898148,301,0.895062,682,0.904321,1136,0.898148,1847,0.895062,1883,0.901235
73,2,0.967593,0,0.959877,2,0.933642,0,0.912037,100,0.896605,293,0.893519,674,0.902778,1128,0.896605,1839,0.893519,1875,0.899691
74,2,0.967593,0,0.959877,6,0.935185,0,0.912037,92,0.895062,285,0.891975,682,0.904321,1120,0.895062,1831,0.891975,1867,0.898148
75,2,0.967593,0,0.959877,6,0.935185,0,0.912037,84,0.893519,277,0.890432,674,0.902778,1112,0.893519,1827,0.890432,1859,0.896605
76,2,0.967593,0,0.959877,6,0.935185,0,0.912037,76,0.891975,273,0.888889,666,0.901235,1104,0.891975,1819,0.888889,1867,0.898148
77,2,0.967593,0,0.959877,6,0.935185,0,0.912037,68,0.890432,265,0.887346,658,0.899691,1096,0.890432,1811,0.887346,1863,0.896605
78,2,0.967593,0,0.959877,6,0.935185,0,0.912037,60,0.888889,257,0.885802,650,0.898148,1092,0.888889,1803,0.885802,1855,0.895062
79,2,0.967593,0,0.959877,6,0.935185,0,0.912037,52,0.887346,249,0.884259,646,0.896605,1084,0.887346,1795,0.884259,1847,0.893519
80,2,0.967593,0,0.959877,6,0.935185,0,0.912037,44,0.885802,241,0.882716,642,0.895062,1080,0.885802,1791,0.882716,1855,0.895062
81,2,0.967593,0,0.959877,6,0.935185,0,0.912037,36,0.884259,237,0.881173,634,0.893519,1076,0.884259,1783,0.881173,1851,0.893519
82,2,0.967593,0,0.959877,6,0.935185,0,0.912037,28,0.882716,229,0.87963,630,0.891975,1072,0.882716,1779,0.87963,1843,0.891975
83,2,0.967593,0,0.959877,6,0.935185,0,0.912037,20,0.881173,221,0.878086,622,0.890432,1064,0.881173,1787,0.881173,1835,0.890432
