10	38.04
20	98.08
30	166.49
40	246.56
50	323.56
60	414.15
70	507.83
80	592.32
90	685.89
100	774.53
110	875.74
120	971.62
130	1089.01
140	1183.62
150	1294.79
160	1414.92
170	1491.36
180	1623.56
190	1726.57
200	1857.54
210	1961.5
220	2056.36
230	2186.08
240	2303.64
250	2392.61
260	2507.76
270	2630.18
280	2751.1
290	2868.67
300	2987.85
310	3090.17
320	3197.11
330	3312.68
340	3463.57
350	3600.2
360	3681.19
370	3826.95
380	3955.21
390	4067.05
400	4216.16
410	4308.12
420	4490.18
430	4551.51
440	4659.81
450	4845.37
460	5016.29
470	5160.95
480	5174.42
490	5356.21
500	5518.49
510	5572.54
520	5770.25
530	5922.26
540	5975.33
550	6135.35
560	6232.49
570	6408.84
580	6567.05
590	6688.45
600	6763.26
610	6900.79
620	7022.17
630	7262.4
640	7314.26
650	7485.21
660	7615.74
670	7724.34
680	7962.73
690	8008.85
700	8099.61
710	8413.31
720	8407.34
730	8556.58
740	8751.04
750	8823.57
760	8945.47
770	9146.64
780	9305.97
790	9378.71
800	9562.91
810	9634.64
820	9777.17
830	9999.63
840	10067
850	10306.9
860	10322.8
870	10441.1
880	10711.1
890	10751.7
900	11002.7
910	11019.2
920	11230.4
930	11328.7
940	11510.2
950	11712.9
960	11769.5
970	11948
980	12090.5
990	12294.9
1000	12400.3
.......................................
