10			65.7
20			301.53
30			728.48
40			1310.79
50			2068.29
60			3087.47
70			4232.46
80			5550.54
90			7112.88
100			8893.17
110			10782.3
120			13005.5
130			15074.9
140			17690.5
150			20329.6
160			23223.5
170			26140.9
180			29583.3
190			32770.7
200			36405.1
210			40506.3
220			44452.6
230			48804.5
240			52807.1
250			57357.1
260			62763.5
270			67438.3
280			72570.7
290			77613.8
300			83546.6
310			89542
320			94736.6
330			101529
340			107232
350			114353
360			120355
370			128807
380			135788
390			142728
400			150798
410			157997
420			166050
430			174281
440			182018
450			192235
460			200794
470			208986
480			216839
490			227409
500			237294
510			245486
520			254476
530			264569
540			276151
550			287270
560			297489
570			309195
580			320314
590			330388
600			341280
610			353324
620			364523
630			377714
640			388927
650			399868
660			413457
670			427083
680			438790
690			454382
700			465296
710			481212
720			491609
730			509447
740			522111
750			536569
760			551983
770			568068
780			581726
790			599443
800			610652
810			628625
820			642817
830			659577
840			677526
850			694363
860			707893
870			724442
880			742702
890			761153
900			772960
910			792566
920			810080
930			827888
940			845607
950			869958
960			884294
970			899523
980			922551
990			939056
1000			959589


=========================================
