iteration,bucketValue,magnetism
1,1392,0.998457
2,1384,0.996914
3,1376,0.99537
4,1368,0.993827
5,1360,0.992284
6,1352,0.990741
7,1344,0.989198
8,1336,0.987654
9,1328,0.986111
10,1320,0.984568
11,1312,0.983025
12,1304,0.981481
13,1296,0.979938
14,1288,0.978395
15,1280,0.976852
16,1272,0.975309
17,1264,0.973765
18,1256,0.972222
19,1248,0.970679
20,1240,0.969136
21,1232,0.967593
22,1224,0.966049
23,1220,0.964506
24,1212,0.962963
25,1204,0.96142
26,1196,0.959877
27,1188,0.958333
28,1180,0.95679
29,1172,0.955247
30,1164,0.953704
31,1156,0.95216
32,1148,0.950617
33,1140,0.949074
34,1132,0.947531
35,1124,0.945988
36,1116,0.944444
37,1108,0.942901
38,1100,0.941358
39,1092,0.939815
40,1084,0.938272
41,1076,0.936728
42,1068,0.935185
43,1060,0.933642
44,1052,0.932099
45,1044,0.930556
46,1036,0.929012
47,1028,0.927469
48,1020,0.925926
49,1012,0.924383
50,1004,0.92284
51,1008,0.921296
52,1000,0.919753
53,996,0.91821
54,988,0.916667
55,980,0.915123
56,972,0.91358
57,964,0.912037
58,972,0.91358
59,964,0.912037
60,956,0.910494
61,948,0.908951
62,940,0.907407
63,936,0.905864
64,928,0.904321
65,920,0.902778
66,912,0.901235
67,904,0.899691
68,896,0.898148
69,888,0.896605
70,880,0.895062
71,872,0.893519
72,864,0.891975
73,860,0.890432
74,852,0.888889
75,844,0.887346
76,836,0.885802
77,832,0.884259
78,824,0.882716
79,820,0.881173
80,816,0.87963
81,808,0.878086
82,800,0.876543
83,792,0.875
84,784,0.873457
85,776,0.871914
86,768,0.87037
87,760,0.868827
88,752,0.867284
89,744,0.865741
90,736,0.864198
91,728,0.862654
92,720,0.861111
93,716,0.859568
94,712,0.858025
95,704,0.856481
96,696,0.854938
97,688,0.853395
98,680,0.851852
99,672,0.850309
100,680,0.851852
101,672,0.850309
102,664,0.848765
103,656,0.847222
104,664,0.848765
105,656,0.847222
106,652,0.845679
107,644,0.844136
108,636,0.842593
109,632,0.841049
110,628,0.839506
111,624,0.837963
112,616,0.83642
113,608,0.834877
114,600,0.833333
115,592,0.83179
116,588,0.830247
117,580,0.828704
118,572,0.82716
119,568,0.825617
120,564,0.824074
121,556,0.822531
122,548,0.820988
123,540,0.819444
124,540,0.817901
125,532,0.816358
126,524,0.814815
127,532,0.816358
128,524,0.814815
129,516,0.813272
130,508,0.811728
131,500,0.810185
132,496,0.808642
133,492,0.807099
134,484,0.805556
135,476,0.804012
136,468,0.802469
137,464,0.800926
138,460,0.799383
139,456,0.79784
140,448,0.796296
141,440,0.794753
142,432,0.79321
143,440,0.794753
144,432,0.79321
145,428,0.791667
146,420,0.790123
147,416,0.78858
148,408,0.787037
149,404,0.785494
150,396,0.783951
151,392,0.782407
152,384,0.780864
153,388,0.779321
154,392,0.780864
155,384,0.779321
156,380,0.777778
157,372,0.776235
158,372,0.774691
159,364,0.773148
160,356,0.771605
161,352,0.770062
162,344,0.768519
163,340,0.766975
164,348,0.768519
165,356,0.770062
166,348,0.768519
167,340,0.766975
168,332,0.765432
169,324,0.763889
170,316,0.762346
171,312,0.760802
172,304,0.759259
173,296,0.757716
174,288,0.756173
175,284,0.75463
176,280,0.753086
177,276,0.751543
178,268,0.75
179,268,0.748457
180,260,0.746914
181,252,0.74537
182,248,0.743827
183,244,0.742284
184,236,0.740741
185,228,0.739198
186,236,0.740741
187,228,0.739198
188,220,0.737654
189,220,0.736111
190,212,0.734568
191,208,0.733025
192,204,0.731481
193,196,0.729938
194,192,0.728395
195,184,0.726852
196,176,0.725309
197,168,0.723765
198,168,0.722222
199,164,0.720679
200,168,0.722222
201,168,0.720679
202,160,0.719136
203,152,0.717593
204,148,0.716049
205,144,0.714506
206,140,0.712963
207,132,0.71142
208,132,0.709877
209,124,0.708333
210,120,0.70679
211,116,0.705247
212,108,0.703704
213,104,0.70216
214,100,0.700617
215,92,0.699074
216,84,0.697531
217,76,0.695988
218,72,0.694444
219,68,0.692901
220,60,0.691358
221,60,0.689815
222,56,0.688272
223,52,0.686728
224,44,0.685185
225,36,0.683642
226,28,0.682099
227,32,0.680556
228,28,0.679012
229,20,0.677469
230,12,0.675926
231,8,0.674383
232,4,0.67284
233,8,0.674383
234,0,0.67284
235,0,0.67284
236,4,0.674383
237,0,0.67284
238,0,0.671296
239,0,0.671296
240,0,0.671296
241,0,0.671296
242,0,0.671296
243,0,0.671296
244,0,0.669753
245,0,0.669753
246,0,0.669753
247,0,0.669753
248,0,0.669753
249,0,0.669753
250,4,0.671296
251,4,0.669753
252,0,0.66821
253,0,0.66821
254,0,0.66821
255,0,0.66821
256,0,0.66821
257,0,0.66821
258,4,0.666667
259,4,0.666667
260,0,0.665123
261,0,0.66358
262,8,0.665123
263,8,0.66358
264,0,0.662037
265,0,0.662037
266,0,0.66358
267,0,0.66358
268,0,0.66358
