iteration,bucketValue,magnetism
1,1592,0.998457
2,1584,0.996914
3,1576,0.99537
4,1568,0.993827
5,1560,0.992284
6,1552,0.990741
7,1544,0.989198
8,1536,0.987654
9,1528,0.986111
10,1520,0.984568
11,1512,0.983025
12,1504,0.981481
13,1500,0.979938
14,1492,0.978395
15,1484,0.976852
16,1476,0.975309
17,1468,0.973765
18,1460,0.972222
19,1452,0.970679
20,1444,0.969136
21,1436,0.967593
22,1428,0.966049
23,1420,0.964506
24,1412,0.962963
25,1404,0.96142
26,1412,0.962963
27,1404,0.96142
28,1396,0.959877
29,1388,0.958333
30,1380,0.95679
31,1372,0.955247
32,1364,0.953704
33,1356,0.95216
34,1348,0.950617
35,1340,0.949074
36,1332,0.947531
37,1324,0.945988
38,1316,0.944444
39,1308,0.942901
40,1304,0.941358
41,1296,0.939815
42,1288,0.938272
43,1280,0.936728
44,1272,0.935185
45,1264,0.933642
46,1256,0.932099
47,1248,0.930556
48,1252,0.932099
49,1248,0.930556
50,1240,0.929012
51,1232,0.927469
52,1224,0.925926
53,1216,0.924383
54,1208,0.92284
55,1200,0.921296
56,1208,0.92284
57,1200,0.921296
58,1196,0.919753
59,1204,0.921296
60,1212,0.92284
61,1204,0.921296
62,1200,0.919753
63,1208,0.921296
64,1204,0.919753
65,1196,0.91821
66,1188,0.916667
67,1180,0.915123
68,1172,0.91358
69,1172,0.912037
70,1164,0.910494
71,1156,0.908951
72,1148,0.907407
73,1144,0.905864
74,1136,0.904321
75,1128,0.902778
76,1120,0.901235
77,1116,0.899691
78,1108,0.898148
79,1100,0.896605
80,1096,0.895062
81,1096,0.893519
82,1088,0.891975
83,1096,0.893519
84,1088,0.891975
85,1080,0.890432
86,1076,0.888889
87,1084,0.890432
88,1076,0.888889
89,1068,0.887346
90,1060,0.885802
91,1052,0.884259
92,1044,0.882716
93,1036,0.881173
94,1028,0.87963
95,1020,0.878086
96,1012,0.876543
97,1004,0.875
98,996,0.873457
99,992,0.871914
100,984,0.87037
101,976,0.868827
102,968,0.867284
103,960,0.865741
104,952,0.864198
105,944,0.862654
106,936,0.861111
107,928,0.859568
108,920,0.858025
109,916,0.856481
110,924,0.858025
111,932,0.859568
112,928,0.858025
113,920,0.856481
114,928,0.858025
115,924,0.856481
116,920,0.854938
117,916,0.853395
118,908,0.851852
119,900,0.850309
120,892,0.848765
121,884,0.847222
122,876,0.845679
123,868,0.844136
124,868,0.842593
125,864,0.841049
126,872,0.842593
127,864,0.841049
128,864,0.839506
129,856,0.837963
