iteration,bucketValue,magnetism
1,1792,0.998457
2,1784,0.996914
3,1776,0.99537
4,1768,0.993827
5,1760,0.992284
6,1752,0.990741
7,1744,0.989198
8,1736,0.987654
9,1728,0.986111
10,1720,0.984568
11,1712,0.983025
12,1704,0.981481
13,1696,0.979938
14,1688,0.978395
15,1680,0.976852
16,1672,0.975309
17,1664,0.973765
18,1656,0.972222
19,1648,0.970679
20,1640,0.969136
21,1632,0.967593
22,1624,0.966049
23,1632,0.967593
24,1640,0.969136
25,1632,0.967593
26,1624,0.966049
27,1616,0.964506
28,1608,0.962963
29,1600,0.96142
30,1592,0.959877
31,1584,0.958333
32,1576,0.95679
33,1568,0.955247
34,1560,0.953704
35,1552,0.95216
36,1544,0.950617
37,1536,0.949074
38,1528,0.947531
39,1520,0.945988
40,1512,0.944444
41,1504,0.942901
42,1496,0.941358
43,1488,0.939815
44,1480,0.938272
45,1472,0.936728
46,1468,0.935185
47,1460,0.933642
48,1452,0.932099
49,1444,0.930556
50,1436,0.929012
51,1444,0.930556
52,1436,0.929012
53,1432,0.927469
54,1424,0.925926
55,1416,0.924383
56,1408,0.92284
57,1404,0.921296
58,1396,0.919753
59,1388,0.91821
60,1380,0.916667
61,1372,0.915123
62,1364,0.91358
63,1356,0.912037
64,1348,0.910494
65,1340,0.908951
66,1336,0.907407
67,1332,0.905864
68,1328,0.904321
69,1336,0.905864
70,1328,0.904321
71,1324,0.902778
72,1316,0.901235
73,1308,0.899691
74,1300,0.898148
75,1292,0.896605
76,1284,0.895062
77,1276,0.893519
78,1268,0.891975
79,1264,0.890432
80,1256,0.888889
81,1248,0.887346
82,1244,0.885802
83,1236,0.884259
84,1228,0.882716
85,1220,0.881173
86,1228,0.882716
87,1220,0.881173
88,1212,0.87963
89,1204,0.878086
90,1196,0.876543
91,1204,0.878086
92,1200,0.876543
93,1192,0.875
94,1184,0.873457
95,1176,0.871914
96,1172,0.87037
97,1164,0.868827
98,1168,0.87037
99,1160,0.868827
100,1152,0.867284
101,1144,0.865741
102,1140,0.864198
103,1132,0.862654
104,1128,0.861111
105,1120,0.859568
106,1124,0.861111
107,1116,0.859568
108,1112,0.858025
109,1104,0.856481
110,1096,0.854938
111,1088,0.853395
112,1080,0.851852
113,1072,0.850309
114,1068,0.848765
115,1064,0.847222
116,1072,0.848765
117,1068,0.847222
118,1064,0.845679
119,1072,0.847222
120,1064,0.845679
121,1060,0.844136
