iteration,bucketValue,magnetism
1,592,0.998457
2,584,0.996914
3,576,0.99537
4,568,0.993827
5,560,0.992284
6,552,0.990741
7,544,0.989198
8,536,0.987654
9,532,0.986111
10,524,0.984568
11,516,0.983025
12,508,0.981481
13,500,0.979938
14,492,0.978395
15,484,0.976852
16,476,0.975309
17,468,0.973765
18,460,0.972222
19,452,0.970679
20,448,0.969136
21,440,0.967593
22,432,0.966049
23,424,0.964506
24,416,0.962963
25,408,0.96142
26,400,0.959877
27,392,0.958333
28,384,0.95679
29,376,0.955247
30,368,0.953704
31,360,0.95216
32,352,0.950617
33,344,0.949074
34,336,0.947531
35,328,0.945988
36,320,0.944444
37,328,0.945988
38,320,0.944444
39,312,0.942901
40,304,0.941358
41,296,0.939815
42,288,0.938272
43,280,0.936728
44,272,0.935185
45,264,0.933642
46,260,0.932099
47,252,0.930556
48,244,0.929012
49,236,0.927469
50,228,0.925926
51,220,0.924383
52,212,0.92284
53,204,0.921296
54,196,0.919753
55,188,0.91821
56,196,0.919753
57,188,0.91821
58,184,0.916667
59,180,0.915123
60,172,0.91358
61,164,0.912037
62,156,0.910494
63,148,0.908951
64,140,0.907407
65,136,0.905864
66,128,0.904321
67,120,0.902778
68,116,0.901235
69,108,0.899691
70,100,0.898148
71,92,0.896605
72,84,0.895062
73,76,0.893519
74,68,0.891975
75,60,0.890432
76,52,0.888889
77,48,0.887346
78,40,0.885802
79,32,0.884259
80,24,0.882716
81,16,0.881173
82,12,0.87963
83,4,0.878086
84,4,0.878086
85,4,0.878086
86,0,0.876543
87,0,0.875
88,0,0.875
89,0,0.875
90,0,0.875
91,0,0.875
92,0,0.875
93,0,0.875
94,0,0.875
95,0,0.875
96,0,0.875
97,0,0.875
98,0,0.875
99,0,0.875
100,0,0.875
101,0,0.875
102,0,0.875
103,0,0.875
104,0,0.875
105,0,0.875
106,0,0.875
107,0,0.875
108,0,0.875
109,0,0.875
110,0,0.873457
111,0,0.873457
112,0,0.873457
113,0,0.873457
114,0,0.873457
115,0,0.873457
116,0,0.873457
117,0,0.873457
118,0,0.873457
119,0,0.873457
120,0,0.873457
121,0,0.873457
122,0,0.873457
123,0,0.873457
124,0,0.873457
125,0,0.873457
126,8,0.875
127,0,0.873457
128,0,0.873457
129,0,0.873457
130,0,0.873457
131,0,0.873457
132,8,0.875
133,0,0.873457
134,0,0.873457
135,0,0.873457
136,0,0.873457
137,0,0.873457
138,0,0.873457
139,0,0.873457
140,0,0.873457
141,0,0.873457
142,8,0.875
143,0,0.873457
144,0,0.873457
145,0,0.873457
146,0,0.873457
147,0,0.873457
148,0,0.873457
149,0,0.873457
150,0,0.873457
151,0,0.873457
152,0,0.873457
153,0,0.873457
