iteration,bucketValue,magnetism
1,2592,0.998457
2,2584,0.996914
3,2576,0.99537
4,2568,0.993827
5,2560,0.992284
6,2552,0.990741
7,2544,0.989198
8,2536,0.987654
9,2528,0.986111
10,2520,0.984568
11,2512,0.983025
12,2504,0.981481
13,2512,0.983025
14,2504,0.981481
15,2496,0.979938
16,2488,0.978395
17,2480,0.976852
18,2472,0.975309
19,2464,0.973765
20,2456,0.972222
21,2448,0.970679
22,2440,0.969136
23,2432,0.967593
24,2424,0.966049
25,2416,0.964506
26,2408,0.962963
27,2400,0.96142
28,2392,0.959877
29,2388,0.958333
30,2380,0.95679
31,2372,0.955247
32,2364,0.953704
33,2356,0.95216
34,2348,0.950617
35,2340,0.949074
36,2332,0.947531
37,2324,0.945988
38,2316,0.944444
39,2308,0.942901
40,2300,0.941358
41,2292,0.939815
42,2284,0.938272
43,2276,0.936728
44,2268,0.935185
45,2260,0.933642
46,2252,0.932099
47,2248,0.930556
48,2240,0.929012
49,2232,0.927469
50,2228,0.925926
51,2220,0.924383
52,2212,0.92284
53,2204,0.921296
54,2200,0.919753
55,2192,0.91821
56,2184,0.916667
57,2176,0.915123
58,2168,0.91358
59,2160,0.912037
60,2152,0.910494
61,2148,0.908951
62,2140,0.907407
63,2132,0.905864
64,2124,0.904321
65,2116,0.902778
66,2112,0.901235
67,2104,0.899691
68,2096,0.898148
69,2104,0.899691
70,2096,0.898148
71,2092,0.896605
72,2088,0.895062
73,2080,0.893519
74,2072,0.891975
75,2064,0.890432
76,2056,0.888889
77,2052,0.887346
78,2048,0.885802
79,2044,0.884259
80,2036,0.882716
81,2028,0.881173
82,2020,0.87963
83,2012,0.878086
84,2008,0.876543
85,2000,0.875
86,2000,0.873457
87,2004,0.875
88,1996,0.873457
89,1988,0.871914
90,1980,0.87037
91,1972,0.868827
92,1964,0.867284
93,1956,0.865741
94,1948,0.864198
95,1944,0.862654
96,1940,0.861111
97,1932,0.859568
98,1924,0.858025
99,1916,0.856481
100,1908,0.854938
101,1900,0.853395
102,1892,0.851852
103,1884,0.850309
104,1876,0.848765
105,1868,0.847222
106,1860,0.845679
107,1852,0.844136
108,1844,0.842593
109,1836,0.841049
110,1828,0.839506
111,1820,0.837963
112,1812,0.83642
113,1804,0.834877
114,1800,0.833333
115,1792,0.83179
116,1800,0.833333
117,1792,0.83179
118,1784,0.830247
119,1776,0.828704
120,1772,0.82716
121,1764,0.825617
122,1756,0.824074
123,1748,0.822531
124,1740,0.820988
125,1732,0.819444
126,1724,0.817901
127,1716,0.816358
128,1708,0.814815
129,1704,0.813272
130,1696,0.811728
131,1688,0.810185
132,1688,0.808642
133,1684,0.807099
134,1680,0.805556
135,1676,0.804012
136,1668,0.802469
137,1660,0.800926
138,1664,0.802469
139,1656,0.800926
140,1648,0.799383
141,1644,0.79784
142,1640,0.796296
143,1648,0.79784
144,1640,0.796296
145,1632,0.794753
146,1624,0.79321
147,1620,0.791667
148,1624,0.79321
149,1620,0.791667
150,1612,0.790123
151,1608,0.78858
152,1600,0.787037
153,1592,0.785494
154,1584,0.783951
155,1580,0.782407
156,1572,0.780864
157,1568,0.779321
158,1564,0.777778
159,1556,0.776235
160,1548,0.774691
161,1540,0.773148
162,1536,0.771605
163,1540,0.773148
164,1536,0.771605
165,1528,0.770062
166,1520,0.768519
167,1516,0.766975
168,1508,0.765432
169,1500,0.763889
170,1496,0.762346
171,1488,0.760802
172,1484,0.759259
173,1488,0.757716
174,1480,0.756173
175,1472,0.75463
176,1480,0.756173
177,1476,0.75463
178,1484,0.756173
179,1480,0.75463
180,1476,0.753086
181,1472,0.751543
182,1480,0.753086
183,1472,0.751543
184,1476,0.753086
185,1468,0.751543
186,1464,0.75
187,1456,0.748457
188,1452,0.746914
189,1444,0.74537
190,1436,0.743827
191,1428,0.742284
192,1420,0.740741
193,1428,0.742284
194,1420,0.740741
195,1412,0.739198
196,1404,0.737654
197,1400,0.736111
198,1396,0.734568
199,1388,0.733025
200,1396,0.734568
201,1392,0.733025
202,1384,0.731481
203,1392,0.733025
204,1400,0.734568
205,1392,0.733025
206,1388,0.731481
207,1384,0.729938
208,1380,0.728395
209,1376,0.726852
210,1372,0.725309
211,1364,0.723765
212,1356,0.722222
213,1352,0.720679
214,1360,0.722222
215,1352,0.720679
216,1348,0.719136
217,1344,0.717593
218,1336,0.716049
219,1332,0.714506
220,1340,0.716049
221,1336,0.714506
222,1328,0.712963
223,1324,0.71142
224,1332,0.712963
225,1328,0.71142
226,1320,0.709877
227,1312,0.708333
228,1304,0.70679
229,1300,0.705247
230,1292,0.703704
231,1300,0.705247
232,1296,0.703704
233,1296,0.70216
234,1296,0.700617
235,1292,0.699074
236,1284,0.697531
237,1284,0.695988
238,1288,0.697531
239,1284,0.699074
240,1276,0.697531
241,1276,0.695988
242,1276,0.694444
243,1268,0.692901
244,1264,0.691358
245,1260,0.689815
246,1252,0.688272
247,1244,0.686728
248,1248,0.688272
249,1240,0.686728
250,1232,0.685185
251,1232,0.683642
252,1224,0.682099
253,1220,0.680556
254,1212,0.679012
255,1204,0.677469
256,1212,0.679012
257,1216,0.680556
258,1208,0.679012
259,1200,0.677469
260,1192,0.675926
261,1184,0.674383
262,1176,0.67284
263,1168,0.671296
264,1172,0.669753
265,1176,0.671296
266,1172,0.669753
267,1168,0.66821
268,1176,0.669753
269,1168,0.66821
270,1176,0.669753
271,1180,0.671296
272,1184,0.67284
273,1176,0.671296
274,1172,0.669753
275,1164,0.66821
276,1156,0.666667
