iteration,bucketValue,magnetism
1,1792,0.998457
2,1784,0.996914
3,1776,0.99537
4,1768,0.993827
5,1760,0.992284
6,1752,0.990741
7,1760,0.992284
8,1752,0.990741
9,1744,0.989198
10,1736,0.987654
11,1728,0.986111
12,1720,0.984568
13,1712,0.983025
14,1704,0.981481
15,1696,0.979938
16,1688,0.978395
17,1680,0.976852
18,1672,0.975309
19,1664,0.973765
20,1656,0.972222
21,1648,0.970679
22,1640,0.969136
23,1632,0.967593
24,1624,0.966049
25,1616,0.964506
26,1608,0.962963
27,1600,0.96142
28,1592,0.959877
29,1584,0.958333
30,1576,0.95679
31,1568,0.955247
32,1560,0.953704
33,1552,0.95216
34,1544,0.950617
35,1536,0.949074
36,1528,0.947531
37,1520,0.945988
38,1512,0.944444
39,1504,0.942901
40,1496,0.941358
41,1492,0.939815
42,1484,0.938272
43,1476,0.936728
44,1468,0.935185
45,1460,0.933642
46,1452,0.932099
47,1444,0.930556
48,1436,0.929012
49,1428,0.927469
50,1420,0.925926
51,1412,0.924383
52,1404,0.92284
53,1396,0.921296
54,1388,0.919753
55,1380,0.91821
56,1372,0.916667
57,1364,0.915123
58,1356,0.91358
59,1348,0.912037
60,1340,0.910494
61,1332,0.908951
62,1328,0.907407
63,1320,0.905864
64,1316,0.904321
65,1308,0.902778
66,1300,0.901235
67,1292,0.899691
68,1284,0.898148
69,1276,0.896605
70,1268,0.895062
71,1260,0.893519
72,1252,0.891975
73,1244,0.890432
74,1236,0.888889
75,1232,0.887346
76,1224,0.885802
77,1216,0.884259
78,1208,0.882716
79,1200,0.881173
80,1192,0.87963
81,1200,0.881173
82,1192,0.87963
83,1184,0.878086
84,1176,0.876543
85,1168,0.875
86,1160,0.873457
87,1152,0.871914
88,1144,0.87037
89,1136,0.868827
90,1132,0.867284
91,1128,0.865741
92,1120,0.864198
93,1116,0.862654
94,1108,0.861111
95,1104,0.859568
96,1100,0.858025
97,1092,0.856481
98,1088,0.854938
99,1080,0.853395
100,1072,0.851852
101,1064,0.850309
102,1056,0.848765
103,1056,0.847222
104,1048,0.845679
105,1044,0.844136
106,1036,0.842593
107,1028,0.841049
108,1020,0.839506
109,1012,0.837963
110,1004,0.83642
111,1000,0.834877
112,992,0.833333
113,984,0.83179
114,976,0.830247
115,972,0.828704
116,964,0.82716
117,960,0.825617
118,956,0.824074
119,948,0.822531
120,944,0.820988
121,936,0.819444
122,932,0.817901
