iteration,bucketValue,magnetism
1,2192,0.998457
2,2184,0.996914
3,2176,0.99537
4,2168,0.993827
5,2160,0.992284
6,2152,0.990741
7,2144,0.989198
8,2140,0.987654
9,2132,0.986111
10,2124,0.984568
11,2116,0.983025
12,2108,0.981481
13,2100,0.979938
14,2092,0.978395
15,2084,0.976852
16,2076,0.975309
17,2068,0.973765
18,2060,0.972222
19,2056,0.970679
20,2048,0.969136
21,2040,0.967593
22,2032,0.966049
23,2024,0.964506
24,2016,0.962963
25,2008,0.96142
26,2000,0.959877
27,1996,0.958333
28,1988,0.95679
29,1980,0.955247
30,1972,0.953704
31,1964,0.95216
32,1960,0.950617
33,1952,0.949074
34,1944,0.947531
35,1936,0.945988
36,1928,0.944444
37,1920,0.942901
38,1912,0.941358
39,1904,0.939815
40,1896,0.938272
41,1888,0.936728
42,1880,0.935185
43,1872,0.933642
44,1880,0.935185
45,1872,0.933642
46,1864,0.932099
47,1856,0.930556
48,1852,0.929012
49,1844,0.927469
50,1836,0.925926
51,1828,0.924383
52,1820,0.92284
53,1812,0.921296
54,1804,0.919753
55,1796,0.91821
56,1788,0.916667
57,1780,0.915123
58,1772,0.91358
59,1780,0.915123
60,1772,0.91358
61,1768,0.912037
62,1764,0.910494
63,1756,0.908951
64,1748,0.907407
65,1740,0.905864
66,1732,0.904321
67,1728,0.902778
68,1720,0.901235
69,1716,0.899691
70,1708,0.898148
71,1700,0.896605
72,1692,0.895062
73,1684,0.893519
74,1676,0.891975
75,1672,0.890432
76,1664,0.888889
77,1660,0.887346
78,1652,0.885802
79,1644,0.884259
80,1636,0.882716
81,1628,0.881173
82,1624,0.87963
83,1616,0.878086
84,1608,0.876543
85,1600,0.875
86,1592,0.873457
87,1584,0.871914
88,1576,0.87037
89,1568,0.868827
90,1560,0.867284
91,1552,0.865741
92,1544,0.864198
93,1536,0.862654
94,1532,0.861111
95,1528,0.859568
96,1520,0.858025
97,1528,0.859568
98,1520,0.858025
99,1512,0.856481
100,1504,0.854938
101,1500,0.853395
102,1492,0.851852
103,1484,0.850309
104,1476,0.848765
105,1468,0.847222
106,1460,0.845679
107,1456,0.844136
108,1452,0.842593
109,1448,0.841049
110,1440,0.839506
111,1432,0.837963
112,1424,0.83642
113,1416,0.834877
114,1408,0.833333
115,1400,0.83179
116,1396,0.830247
117,1388,0.828704
118,1384,0.82716
119,1376,0.825617
120,1372,0.824074
121,1364,0.822531
122,1356,0.820988
123,1348,0.819444
124,1340,0.817901
125,1332,0.816358
126,1324,0.814815
127,1328,0.816358
128,1320,0.814815
129,1312,0.813272
130,1316,0.814815
131,1308,0.813272
132,1316,0.814815
133,1308,0.813272
134,1304,0.811728
135,1300,0.810185
136,1296,0.808642
137,1292,0.807099
138,1284,0.805556
139,1276,0.804012
140,1284,0.805556
141,1292,0.807099
142,1292,0.805556
143,1300,0.807099
144,1308,0.808642
145,1300,0.807099
146,1296,0.805556
147,1296,0.804012
148,1288,0.802469
149,1284,0.800926
150,1276,0.799383
151,1268,0.79784
152,1260,0.796296
153,1252,0.794753
154,1244,0.79321
155,1252,0.794753
156,1244,0.79321
157,1236,0.791667
158,1232,0.790123
159,1224,0.78858
160,1216,0.787037
161,1208,0.785494
162,1204,0.783951
163,1196,0.782407
