iteration,bucketValue,magnetism
1,2392,0.998457
2,2384,0.996914
3,2376,0.99537
4,2368,0.993827
5,2360,0.992284
6,2352,0.990741
7,2344,0.989198
8,2336,0.987654
9,2328,0.986111
10,2320,0.984568
11,2312,0.983025
12,2304,0.981481
13,2296,0.979938
14,2288,0.978395
15,2280,0.976852
16,2272,0.975309
17,2264,0.973765
18,2256,0.972222
19,2248,0.970679
20,2240,0.969136
21,2232,0.967593
22,2224,0.966049
23,2216,0.964506
24,2208,0.962963
25,2200,0.96142
26,2196,0.959877
27,2188,0.958333
28,2180,0.95679
29,2172,0.955247
30,2164,0.953704
31,2156,0.95216
32,2152,0.950617
33,2144,0.949074
34,2152,0.950617
35,2160,0.95216
36,2152,0.950617
37,2144,0.949074
38,2136,0.947531
39,2128,0.945988
40,2120,0.944444
41,2112,0.942901
42,2104,0.941358
43,2100,0.939815
44,2092,0.938272
45,2084,0.936728
46,2076,0.935185
47,2072,0.933642
48,2064,0.932099
49,2056,0.930556
50,2048,0.929012
51,2040,0.927469
52,2036,0.925926
53,2028,0.924383
54,2020,0.92284
55,2012,0.921296
56,2004,0.919753
57,1996,0.91821
58,1992,0.916667
59,1984,0.915123
60,1976,0.91358
61,1968,0.912037
62,1964,0.910494
63,1960,0.908951
64,1952,0.907407
65,1944,0.905864
66,1936,0.904321
67,1928,0.902778
68,1924,0.901235
69,1916,0.899691
70,1908,0.898148
71,1904,0.896605
72,1900,0.895062
73,1892,0.893519
74,1884,0.891975
75,1876,0.890432
76,1868,0.888889
77,1860,0.887346
78,1852,0.885802
79,1844,0.884259
80,1836,0.882716
81,1828,0.881173
82,1824,0.87963
83,1816,0.878086
84,1808,0.876543
85,1800,0.875
86,1808,0.876543
87,1800,0.875
88,1796,0.873457
89,1788,0.871914
90,1780,0.87037
91,1772,0.868827
92,1776,0.87037
93,1768,0.868827
94,1760,0.867284
95,1752,0.865741
96,1748,0.864198
97,1740,0.862654
98,1732,0.861111
99,1728,0.859568
100,1724,0.858025
101,1728,0.859568
102,1724,0.858025
103,1720,0.856481
104,1712,0.854938
105,1704,0.853395
106,1700,0.851852
107,1696,0.850309
108,1688,0.848765
109,1684,0.847222
110,1676,0.845679
111,1668,0.844136
112,1664,0.842593
113,1656,0.841049
114,1652,0.839506
115,1644,0.837963
116,1636,0.83642
117,1628,0.834877
118,1620,0.833333
119,1612,0.83179
120,1604,0.830247
121,1596,0.828704
122,1588,0.82716
123,1580,0.825617
124,1572,0.824074
125,1564,0.822531
126,1568,0.824074
127,1560,0.822531
128,1552,0.820988
129,1560,0.822531
130,1552,0.820988
131,1552,0.819444
132,1544,0.817901
133,1536,0.816358
134,1528,0.814815
135,1520,0.813272
136,1520,0.811728
137,1512,0.810185
138,1520,0.811728
139,1516,0.810185
140,1512,0.808642
141,1508,0.807099
142,1500,0.805556
143,1496,0.804012
144,1488,0.802469
145,1480,0.800926
146,1472,0.799383
147,1464,0.79784
148,1460,0.796296
149,1452,0.794753
150,1444,0.79321
151,1436,0.791667
152,1428,0.790123
153,1420,0.78858
154,1416,0.787037
155,1408,0.785494
156,1404,0.783951
157,1400,0.782407
158,1392,0.780864
159,1384,0.779321
160,1376,0.777778
161,1372,0.776235
162,1368,0.774691
163,1368,0.776235
164,1364,0.774691
165,1356,0.773148
166,1352,0.771605
167,1344,0.770062
168,1352,0.771605
169,1344,0.770062
170,1352,0.771605
171,1348,0.770062
172,1352,0.771605
173,1344,0.770062
174,1336,0.768519
175,1332,0.766975
176,1324,0.765432
177,1320,0.763889
178,1316,0.762346
179,1308,0.760802
180,1300,0.759259
181,1296,0.757716
182,1292,0.756173
183,1284,0.75463
184,1280,0.753086
185,1272,0.751543
186,1276,0.75
187,1268,0.748457
188,1264,0.746914
189,1272,0.748457
190,1268,0.746914
191,1264,0.74537
192,1260,0.743827
193,1252,0.742284
194,1248,0.740741
195,1252,0.742284
196,1252,0.740741
197,1256,0.742284
198,1256,0.740741
199,1260,0.742284
200,1256,0.740741
201,1248,0.739198
202,1248,0.737654
203,1240,0.736111
204,1232,0.734568
205,1228,0.736111
206,1228,0.734568
207,1224,0.733025
208,1232,0.734568
209,1228,0.733025
210,1236,0.734568
211,1228,0.733025
212,1224,0.731481
213,1224,0.729938
214,1220,0.728395
215,1212,0.726852
216,1204,0.725309
217,1200,0.723765
218,1196,0.722222
219,1192,0.720679
220,1184,0.719136
221,1176,0.717593
222,1168,0.716049
223,1160,0.714506
224,1152,0.712963
225,1144,0.71142
226,1140,0.709877
227,1132,0.708333
228,1124,0.70679
229,1120,0.705247
230,1112,0.703704
231,1104,0.70216
232,1100,0.700617
233,1092,0.699074
234,1084,0.697531
235,1080,0.695988
236,1072,0.694444
237,1064,0.692901
238,1056,0.691358
239,1052,0.692901
240,1060,0.694444
241,1052,0.692901
242,1044,0.691358
243,1036,0.689815
244,1036,0.688272
245,1032,0.686728
246,1024,0.685185
247,1020,0.683642
248,1012,0.682099
249,1020,0.683642
250,1012,0.682099
251,1004,0.680556
252,1000,0.679012
253,992,0.677469
254,992,0.675926
255,984,0.674383
256,980,0.67284
257,972,0.671296
258,968,0.669753
259,960,0.66821
260,952,0.666667
261,944,0.665123
262,936,0.66358
263,940,0.665123
264,948,0.666667
265,940,0.665123
266,932,0.66358
267,924,0.662037
268,924,0.660494
269,920,0.658951
270,924,0.660494
271,928,0.662037
272,920,0.660494
273,912,0.658951
274,904,0.657407
275,896,0.655864
276,888,0.654321
277,880,0.652778
278,876,0.651235
279,868,0.649691
280,864,0.648148
281,864,0.646605
282,856,0.645062
283,852,0.643519
284,844,0.641975
285,836,0.640432
286,832,0.638889
287,824,0.637346
288,828,0.638889
289,828,0.637346
290,820,0.635802
291,816,0.634259
292,808,0.632716
293,800,0.631173
294,792,0.62963
295,796,0.628086
296,804,0.62963
297,804,0.628086
298,804,0.626543
299,812,0.628086
300,812,0.626543
301,804,0.625
302,812,0.626543
303,804,0.625
304,800,0.623457
305,796,0.621914
306,796,0.623457
307,792,0.621914
308,784,0.62037
309,784,0.618827
310,792,0.62037
311,788,0.618827
312,792,0.62037
313,784,0.618827
314,776,0.617284
315,780,0.618827
316,780,0.617284
317,772,0.615741
318,764,0.614198
319,768,0.615741
320,760,0.614198
321,756,0.612654
322,752,0.611111
323,752,0.609568
324,756,0.611111
325,748,0.609568
326,740,0.608025
327,732,0.606481
328,724,0.604938
329,732,0.606481
330,728,0.604938
331,736,0.606481
332,728,0.604938
333,728,0.606481
334,720,0.604938
335,716,0.603395
336,712,0.601852
337,712,0.600309
338,704,0.598765
339,696,0.597222
340,692,0.595679
341,688,0.594136
342,684,0.592593
343,676,0.591049
344,668,0.589506
345,672,0.587963
346,664,0.58642
347,668,0.587963
348,664,0.58642
349,656,0.584877
350,648,0.583333
351,656,0.584877
352,664,0.58642
353,660,0.584877
354,664,0.58642
355,660,0.584877
356,652,0.583333
357,652,0.58179
358,644,0.580247
359,636,0.578704
360,632,0.57716
361,628,0.575617
362,628,0.574074
363,624,0.572531
364,620,0.570988
365,624,0.572531
366,616,0.570988
367,624,0.572531
368,620,0.570988
369,612,0.569444
370,608,0.567901
371,608,0.569444
372,600,0.567901
373,596,0.566358
374,596,0.564815
375,592,0.563272
376,588,0.561728
377,580,0.560185
378,576,0.558642
379,572,0.557099
380,564,0.555556
381,564,0.557099
382,560,0.555556
383,568,0.557099
384,564,0.555556
385,556,0.554012
386,560,0.555556
387,560,0.557099
388,560,0.555556
389,552,0.554012
390,552,0.552469
391,560,0.554012
392,560,0.552469
393,556,0.550926
394,560,0.552469
395,564,0.554012
396,560,0.552469
397,564,0.554012
398,568,0.552469
399,560,0.550926
400,556,0.549383
401,556,0.54784
402,552,0.546296
403,552,0.544753
404,560,0.546296
405,568,0.54784
406,564,0.546296
407,560,0.544753
408,556,0.546296
409,564,0.54784
410,556,0.546296
411,552,0.544753
412,544,0.54321
413,548,0.544753
414,540,0.54321
415,532,0.541667
416,532,0.540123
417,524,0.53858
418,516,0.537037
419,508,0.535494
420,508,0.533951
421,500,0.532407
422,504,0.533951
423,508,0.532407
424,500,0.530864
425,496,0.529321
426,500,0.530864
427,492,0.529321
428,488,0.527778
429,484,0.526235
430,476,0.524691
431,480,0.526235
432,472,0.524691
433,472,0.526235
434,468,0.524691
435,472,0.526235
436,464,0.524691
437,468,0.526235
438,472,0.527778
439,472,0.526235
440,464,0.524691
441,460,0.523148
442,452,0.521605
443,448,0.520062
444,448,0.518519
445,448,0.516975
446,444,0.515432
447,440,0.513889
448,432,0.512346
449,428,0.510802
450,420,0.509259
451,420,0.507716
452,420,0.506173
453,416,0.507716
454,408,0.506173
455,404,0.50463
456,396,0.503086
457,396,0.501543
458,400,0.503086
459,400,0.50463
460,396,0.503086
461,388,0.501543
462,380,0.5
463,372,0.498457
464,368,0.496914
465,376,0.498457
466,384,0.5
467,384,0.498457
468,380,0.496914
469,372,0.49537
470,368,0.493827
471,364,0.492284
472,356,0.490741
473,360,0.489198
474,352,0.487654
475,352,0.486111
476,352,0.484568
477,352,0.483025
478,360,0.484568
479,360,0.483025
480,352,0.481481
481,344,0.479938
482,340,0.478395
483,336,0.476852
484,336,0.475309
485,328,0.473765
486,320,0.472222
