iteration,bucketValue,magnetism
1,992,0.998457
2,984,0.996914
3,976,0.99537
4,968,0.993827
5,960,0.992284
6,952,0.990741
7,944,0.989198
8,936,0.987654
9,928,0.986111
10,920,0.984568
11,912,0.983025
12,904,0.981481
13,896,0.979938
14,888,0.978395
15,880,0.976852
16,872,0.975309
17,864,0.973765
18,856,0.972222
19,848,0.970679
20,840,0.969136
21,832,0.967593
22,824,0.966049
23,816,0.964506
24,808,0.962963
25,800,0.96142
26,792,0.959877
27,784,0.958333
28,776,0.95679
29,768,0.955247
30,760,0.953704
31,752,0.95216
32,744,0.950617
33,736,0.949074
34,728,0.947531
35,720,0.945988
36,712,0.944444
37,704,0.942901
38,700,0.941358
39,692,0.939815
40,684,0.938272
41,680,0.936728
42,672,0.935185
43,664,0.933642
44,656,0.932099
45,648,0.930556
46,640,0.929012
47,632,0.927469
48,628,0.925926
49,620,0.924383
50,612,0.92284
51,604,0.921296
52,600,0.919753
53,592,0.91821
54,584,0.916667
55,576,0.915123
56,568,0.91358
57,560,0.912037
58,552,0.910494
59,544,0.908951
60,536,0.907407
61,544,0.908951
62,540,0.907407
63,532,0.905864
64,524,0.904321
65,516,0.902778
66,508,0.901235
67,500,0.899691
68,492,0.898148
69,484,0.896605
70,476,0.895062
71,468,0.893519
72,460,0.891975
73,452,0.890432
74,444,0.888889
75,440,0.887346
76,436,0.885802
77,432,0.884259
78,440,0.885802
79,432,0.884259
80,424,0.882716
81,416,0.881173
82,408,0.87963
83,400,0.878086
84,392,0.876543
85,388,0.875
86,380,0.873457
87,372,0.871914
88,368,0.87037
89,360,0.868827
90,352,0.867284
91,344,0.865741
92,340,0.864198
93,332,0.862654
94,324,0.861111
95,316,0.859568
96,308,0.858025
97,304,0.856481
98,296,0.854938
99,292,0.853395
100,284,0.851852
101,280,0.850309
102,272,0.848765
103,264,0.847222
104,256,0.845679
105,248,0.844136
106,240,0.842593
107,232,0.841049
108,224,0.839506
109,216,0.837963
110,208,0.83642
111,200,0.834877
112,192,0.833333
113,184,0.83179
114,180,0.830247
115,188,0.83179
116,180,0.830247
117,172,0.828704
118,176,0.830247
119,168,0.828704
120,164,0.82716
121,156,0.825617
122,160,0.82716
123,156,0.825617
124,148,0.824074
125,144,0.822531
126,136,0.820988
127,128,0.819444
128,120,0.817901
129,124,0.819444
130,120,0.817901
131,128,0.819444
132,120,0.817901
133,112,0.816358
134,104,0.814815
135,96,0.813272
136,92,0.811728
137,88,0.810185
138,80,0.808642
139,72,0.807099
140,68,0.805556
141,60,0.804012
142,52,0.802469
143,44,0.800926
144,36,0.799383
145,28,0.79784
146,24,0.796296
147,16,0.794753
148,8,0.79321
149,4,0.791667
150,4,0.791667
151,4,0.791667
152,4,0.791667
153,0,0.790123
154,0,0.790123
155,0,0.790123
156,0,0.790123
157,0,0.790123
158,0,0.790123
159,0,0.790123
160,8,0.791667
161,0,0.790123
162,0,0.790123
163,0,0.790123
164,0,0.790123
165,0,0.78858
166,0,0.78858
167,0,0.78858
168,0,0.78858
169,0,0.78858
170,0,0.78858
171,0,0.78858
172,0,0.78858
173,8,0.790123
174,0,0.78858
175,0,0.78858
176,0,0.78858
177,0,0.78858
178,0,0.78858
179,0,0.78858
180,0,0.78858
181,0,0.78858
182,8,0.790123
183,4,0.78858
184,12,0.790123
185,8,0.78858
186,4,0.787037
187,0,0.785494
188,0,0.785494
189,0,0.785494
190,0,0.785494
191,0,0.785494
192,0,0.785494
193,0,0.785494
194,0,0.785494
195,0,0.783951
196,0,0.783951
197,0,0.783951
198,0,0.783951
199,0,0.783951
200,0,0.783951
201,0,0.783951
202,0,0.783951
203,0,0.783951
204,0,0.783951
205,8,0.785494
206,0,0.783951
207,0,0.783951
208,0,0.783951
209,0,0.782407
210,0,0.782407
211,0,0.782407
212,0,0.782407
213,0,0.782407
214,0,0.782407
215,0,0.782407
216,0,0.782407
217,0,0.782407
218,0,0.782407
219,8,0.783951
220,4,0.782407
221,4,0.782407
222,4,0.782407
223,12,0.783951
224,8,0.782407
225,4,0.780864
226,4,0.780864
227,4,0.780864
228,4,0.780864
229,4,0.780864
230,4,0.780864
231,12,0.782407
232,20,0.783951
233,24,0.785494
234,20,0.783951
235,12,0.782407
236,8,0.780864
237,4,0.779321
238,4,0.779321
239,0,0.777778
240,0,0.777778
241,0,0.776235
242,0,0.776235
243,0,0.774691
244,0,0.774691
245,0,0.774691
246,0,0.774691
247,0,0.773148
248,0,0.773148
249,0,0.773148
250,0,0.773148
251,0,0.773148
252,0,0.773148
253,0,0.773148
254,4,0.774691
255,4,0.774691
256,4,0.773148
257,4,0.773148
258,4,0.773148
259,0,0.771605
260,0,0.770062
261,0,0.770062
262,0,0.770062
263,0,0.770062
264,0,0.770062
265,0,0.770062
266,0,0.770062
267,0,0.770062
268,4,0.771605
269,4,0.771605
270,4,0.771605
271,4,0.771605
272,0,0.770062
273,0,0.770062
274,4,0.771605
275,0,0.770062
276,0,0.770062
277,0,0.770062
278,0,0.770062
279,0,0.770062
280,0,0.770062
281,4,0.768519
282,4,0.768519
283,4,0.768519
284,4,0.768519
285,4,0.766975
286,4,0.766975
287,4,0.766975
288,0,0.765432
289,0,0.765432
290,0,0.765432
291,0,0.765432
292,0,0.765432
293,0,0.765432
294,0,0.766975
295,8,0.768519
296,0,0.766975
297,0,0.766975
298,0,0.768519
299,0,0.768519
300,0,0.768519
301,0,0.768519
302,0,0.768519
303,0,0.768519
304,0,0.768519
305,0,0.768519
306,0,0.768519
307,0,0.768519
308,0,0.768519
309,0,0.768519
310,0,0.768519
311,0,0.768519
312,0,0.768519
313,0,0.768519
314,0,0.768519
315,0,0.768519
316,0,0.768519
317,0,0.768519
318,0,0.768519
319,0,0.766975
320,0,0.766975
321,0,0.766975
322,0,0.766975
323,0,0.766975
324,0,0.766975
325,0,0.766975
326,0,0.765432
327,0,0.765432
328,0,0.765432
329,0,0.765432
330,0,0.765432
331,0,0.765432
332,0,0.765432
333,0,0.763889
334,0,0.763889
335,8,0.765432
336,4,0.763889
337,0,0.762346
338,0,0.762346
339,8,0.763889
340,8,0.762346
341,16,0.763889
342,8,0.762346
343,4,0.760802
344,0,0.759259
345,0,0.759259
346,0,0.760802
347,0,0.760802
348,0,0.760802
349,0,0.759259
350,0,0.759259
351,0,0.759259
352,0,0.759259
353,0,0.759259
354,0,0.759259
355,0,0.759259
356,0,0.759259
357,0,0.759259
358,0,0.759259
359,0,0.759259
360,0,0.759259
361,0,0.759259
362,0,0.759259
363,0,0.759259
364,0,0.760802
365,0,0.760802
366,0,0.760802
367,0,0.760802
368,0,0.760802
369,0,0.760802
370,8,0.762346
371,0,0.760802
372,0,0.760802
373,0,0.762346
374,0,0.762346
375,0,0.762346
376,0,0.762346
377,0,0.762346
378,0,0.762346
379,0,0.762346
380,0,0.762346
381,0,0.762346
382,0,0.762346
383,0,0.762346
384,0,0.762346
385,0,0.762346
386,0,0.762346
387,0,0.762346
388,0,0.763889
389,0,0.763889
390,0,0.763889
391,0,0.763889
392,0,0.763889
393,0,0.763889
394,0,0.763889
395,0,0.763889
396,0,0.763889
397,0,0.763889
398,0,0.763889
399,0,0.763889
400,0,0.763889
401,0,0.763889
402,0,0.763889
403,0,0.763889
404,0,0.763889
405,0,0.765432
406,0,0.765432
407,0,0.765432
408,4,0.766975
409,4,0.766975
410,4,0.766975
411,0,0.765432
412,0,0.765432
413,0,0.765432
414,0,0.765432
415,0,0.763889
416,0,0.763889
417,0,0.763889
418,0,0.763889
419,0,0.763889
420,0,0.763889
421,0,0.763889
422,0,0.763889
423,0,0.763889
424,4,0.765432
425,4,0.765432
426,0,0.763889
427,0,0.763889
428,0,0.763889
429,0,0.763889
430,0,0.763889
431,0,0.763889
432,0,0.763889
433,0,0.763889
434,0,0.763889
435,0,0.763889
436,0,0.763889
437,0,0.763889
438,0,0.762346
439,0,0.762346
440,0,0.762346
441,0,0.762346
442,0,0.762346
443,0,0.762346
444,0,0.762346
445,0,0.762346
446,0,0.762346
447,0,0.762346
448,0,0.762346
449,0,0.762346
450,8,0.763889
451,0,0.762346
452,0,0.762346
453,0,0.760802
454,0,0.760802
455,0,0.760802
456,0,0.760802
457,0,0.760802
458,0,0.760802
459,0,0.759259
460,4,0.760802
461,0,0.759259
462,0,0.759259
463,0,0.759259
464,0,0.759259
465,0,0.759259
466,0,0.759259
467,4,0.757716
468,4,0.757716
469,4,0.757716
470,4,0.757716
471,4,0.759259
472,0,0.757716
473,0,0.757716
474,0,0.757716
475,0,0.757716
476,0,0.757716
477,0,0.757716
478,0,0.757716
479,4,0.759259
480,0,0.757716
481,0,0.756173
482,0,0.756173
483,0,0.756173
484,0,0.756173
485,0,0.756173
486,8,0.757716
487,12,0.756173
488,4,0.75463
489,4,0.75463
490,4,0.75463
491,4,0.75463
492,4,0.75463
493,4,0.75463
494,4,0.75463
495,4,0.75463
496,4,0.75463
497,12,0.756173
498,8,0.75463
499,8,0.753086
500,0,0.751543
501,0,0.751543
502,0,0.751543
503,0,0.751543
504,4,0.753086
505,0,0.751543
506,0,0.751543
507,0,0.751543
508,0,0.751543
509,0,0.751543
510,0,0.753086
511,8,0.75463
512,0,0.753086
513,0,0.753086
514,0,0.753086
515,0,0.753086
516,0,0.753086
517,0,0.751543
518,8,0.753086
519,4,0.751543
520,0,0.75
521,0,0.75
522,4,0.751543
523,4,0.751543
524,4,0.751543
525,4,0.751543
526,4,0.751543
527,4,0.751543
528,0,0.75
529,0,0.748457
530,0,0.748457
531,0,0.748457
532,0,0.748457
533,0,0.748457
534,0,0.748457
535,0,0.748457
536,0,0.748457
537,0,0.748457
538,0,0.748457
539,0,0.748457
540,0,0.748457
541,0,0.748457
542,4,0.75
543,0,0.748457
544,0,0.748457
545,0,0.748457
546,0,0.748457
547,0,0.748457
548,0,0.748457
549,0,0.748457
550,0,0.748457
551,0,0.748457
552,0,0.748457
553,0,0.748457
554,0,0.748457
555,0,0.75
556,0,0.75
557,0,0.75
558,0,0.75
559,0,0.75
560,0,0.75
561,0,0.75
562,0,0.75
563,0,0.75
564,0,0.75
565,0,0.75
566,0,0.75
567,0,0.75
568,4,0.751543
569,4,0.751543
570,8,0.75
571,0,0.748457
572,0,0.748457
573,0,0.748457
574,0,0.748457
575,0,0.748457
576,0,0.748457
577,0,0.748457
578,0,0.748457
579,0,0.748457
580,0,0.748457
581,0,0.748457
582,0,0.748457
583,0,0.748457
584,0,0.748457
585,0,0.748457
586,0,0.748457
587,0,0.748457
588,0,0.748457
589,0,0.748457
590,0,0.748457
591,0,0.748457
592,0,0.748457
593,0,0.748457
594,0,0.748457
595,0,0.746914
596,0,0.746914
597,0,0.746914
598,0,0.746914
599,0,0.746914
600,0,0.746914
601,0,0.746914
602,0,0.746914
603,4,0.748457
604,4,0.748457
605,8,0.75
606,0,0.748457
607,0,0.748457
608,0,0.748457
609,0,0.748457
610,0,0.748457
611,0,0.748457
612,0,0.748457
613,0,0.748457
614,0,0.748457
615,0,0.748457
616,0,0.748457
617,0,0.748457
618,0,0.748457
619,0,0.748457
620,4,0.75
621,4,0.75
622,0,0.748457
623,0,0.748457
624,0,0.748457
625,0,0.748457
626,0,0.748457
627,0,0.748457
628,4,0.75
629,4,0.75
630,8,0.751543
631,4,0.75
632,4,0.75
633,4,0.75
634,4,0.75
635,4,0.751543
636,4,0.751543
637,4,0.751543
638,0,0.75
639,0,0.75
640,0,0.75
641,0,0.75
642,0,0.75
643,0,0.75
644,0,0.75
645,0,0.75
646,0,0.75
647,0,0.75
648,0,0.75
649,0,0.75
650,0,0.75
651,0,0.75
652,0,0.75
653,0,0.75
654,0,0.75
655,0,0.75
656,0,0.75
657,0,0.75
658,0,0.75
659,0,0.75
660,0,0.75
661,0,0.75
662,0,0.75
663,0,0.75
664,4,0.751543
665,4,0.751543
666,4,0.751543
667,0,0.75
668,8,0.751543
669,16,0.753086
670,8,0.751543
671,0,0.75
672,0,0.75
673,0,0.75
674,0,0.75
675,0,0.75
676,0,0.75
677,0,0.75
678,0,0.75
679,0,0.75
680,0,0.748457
681,0,0.748457
682,0,0.748457
683,8,0.75
684,8,0.751543
685,0,0.75
686,0,0.75
687,0,0.75
688,0,0.75
689,0,0.75
690,0,0.75
691,0,0.75
692,0,0.75
693,0,0.75
694,0,0.75
695,0,0.75
696,0,0.75
697,0,0.75
698,0,0.75
699,0,0.75
700,0,0.748457
701,0,0.746914
702,4,0.748457
703,4,0.748457
704,0,0.746914
705,0,0.746914
706,0,0.746914
707,0,0.746914
708,0,0.746914
709,0,0.74537
710,0,0.74537
711,8,0.746914
712,0,0.74537
713,0,0.74537
714,0,0.74537
715,0,0.74537
716,0,0.74537
717,0,0.74537
718,0,0.74537
719,0,0.74537
720,0,0.74537
721,0,0.74537
722,0,0.74537
723,0,0.74537
724,0,0.74537
725,0,0.746914
726,0,0.746914
727,0,0.746914
728,0,0.746914
729,8,0.748457
730,0,0.746914
731,0,0.746914
732,8,0.748457
733,8,0.75
734,0,0.748457
735,0,0.748457
736,0,0.748457
737,0,0.748457
738,0,0.748457
739,0,0.748457
740,0,0.748457
741,0,0.748457
742,0,0.748457
743,0,0.746914
744,0,0.746914
745,0,0.746914
746,0,0.746914
747,0,0.746914
748,0,0.746914
749,0,0.746914
750,0,0.746914
751,0,0.746914
752,0,0.746914
753,0,0.74537
754,0,0.74537
755,0,0.74537
756,0,0.74537
757,0,0.74537
758,8,0.746914
759,8,0.748457
760,0,0.746914
761,0,0.746914
762,0,0.746914
763,0,0.746914
764,0,0.746914
765,0,0.746914
766,0,0.746914
767,0,0.746914
768,0,0.748457
769,0,0.748457
770,0,0.748457
771,0,0.748457
772,0,0.748457
773,0,0.746914
774,8,0.748457
775,8,0.746914
776,8,0.74537
777,8,0.746914
778,0,0.74537
779,4,0.746914
780,4,0.746914
781,4,0.746914
782,4,0.746914
783,0,0.74537
784,0,0.74537
785,0,0.74537
786,0,0.74537
787,0,0.74537
788,0,0.74537
789,4,0.746914
790,0,0.74537
791,0,0.74537
792,8,0.746914
793,4,0.74537
794,0,0.743827
795,0,0.743827
796,0,0.742284
797,0,0.742284
798,0,0.742284
799,0,0.742284
800,0,0.743827
801,0,0.743827
802,0,0.742284
803,0,0.742284
804,0,0.742284
805,0,0.742284
806,0,0.742284
807,0,0.742284
808,0,0.740741
809,0,0.740741
810,0,0.740741
811,0,0.740741
812,0,0.740741
813,0,0.742284
814,0,0.742284
815,0,0.742284
816,0,0.742284
817,0,0.742284
818,0,0.742284
819,4,0.743827
820,8,0.74537
821,0,0.743827
822,0,0.743827
823,0,0.743827
824,0,0.743827
825,0,0.743827
826,0,0.743827
827,0,0.74537
828,0,0.746914
829,0,0.746914
830,0,0.746914
831,0,0.746914
832,0,0.746914
833,0,0.74537
834,0,0.74537
835,4,0.746914
836,4,0.746914
837,4,0.746914
838,4,0.746914
839,8,0.748457
840,0,0.746914
841,0,0.746914
842,8,0.748457
843,8,0.75
844,8,0.751543
845,4,0.75
846,0,0.748457
847,0,0.748457
848,0,0.748457
849,0,0.748457
850,0,0.748457
851,0,0.748457
852,4,0.75
853,0,0.748457
854,0,0.748457
855,0,0.748457
856,0,0.748457
857,0,0.748457
858,0,0.746914
859,8,0.748457
860,4,0.746914
861,0,0.74537
862,0,0.74537
863,0,0.74537
864,0,0.74537
865,0,0.74537
866,0,0.743827
867,0,0.743827
868,0,0.743827
869,0,0.743827
870,0,0.743827
871,8,0.74537
872,4,0.743827
873,4,0.743827
874,4,0.743827
875,4,0.743827
876,4,0.743827
877,4,0.743827
878,0,0.742284
879,0,0.740741
880,0,0.740741
881,0,0.740741
882,4,0.742284
883,8,0.743827
884,0,0.742284
885,0,0.742284
886,0,0.742284
887,0,0.743827
888,0,0.743827
889,4,0.74537
890,4,0.74537
891,0,0.743827
892,0,0.743827
893,4,0.742284
894,12,0.743827
895,8,0.742284
896,0,0.740741
897,0,0.742284
898,0,0.742284
899,0,0.742284
900,0,0.742284
901,0,0.742284
902,0,0.742284
903,0,0.742284
904,0,0.742284
905,0,0.742284
906,0,0.742284
907,0,0.740741
908,0,0.740741
909,0,0.742284
910,0,0.740741
911,4,0.742284
912,4,0.742284
913,4,0.742284
914,4,0.742284
915,4,0.742284
916,8,0.740741
917,0,0.739198
918,4,0.740741
919,0,0.739198
920,0,0.737654
921,0,0.737654
922,0,0.737654
923,0,0.737654
924,0,0.736111
925,0,0.736111
926,8,0.737654
927,4,0.736111
928,0,0.734568
929,8,0.736111
930,12,0.737654
931,8,0.739198
932,4,0.737654
933,4,0.737654
934,4,0.737654
935,4,0.736111
936,4,0.736111
937,4,0.737654
938,0,0.736111
939,0,0.736111
940,4,0.737654
941,8,0.739198
942,0,0.737654
943,0,0.737654
944,0,0.737654
945,0,0.737654
946,0,0.737654
947,0,0.737654
948,0,0.737654
949,0,0.737654
950,0,0.737654
951,0,0.739198
952,0,0.739198
