iteration,bucketValue,magnetism
1,1392,0.998457
2,1384,0.996914
3,1376,0.99537
4,1368,0.993827
5,1360,0.992284
6,1352,0.990741
7,1344,0.989198
8,1336,0.987654
9,1328,0.986111
10,1320,0.984568
11,1312,0.983025
12,1320,0.984568
13,1328,0.986111
14,1320,0.984568
15,1312,0.983025
16,1304,0.981481
17,1296,0.979938
18,1288,0.978395
19,1280,0.976852
20,1272,0.975309
21,1264,0.973765
22,1256,0.972222
23,1248,0.970679
24,1240,0.969136
25,1232,0.967593
26,1224,0.966049
27,1216,0.964506
28,1208,0.962963
29,1200,0.96142
30,1192,0.959877
31,1184,0.958333
32,1176,0.95679
33,1168,0.955247
34,1160,0.953704
35,1152,0.95216
36,1144,0.950617
37,1136,0.949074
38,1132,0.947531
39,1124,0.945988
40,1120,0.944444
41,1112,0.942901
42,1104,0.941358
43,1096,0.939815
44,1088,0.938272
45,1080,0.936728
46,1072,0.935185
47,1064,0.933642
48,1056,0.932099
49,1048,0.930556
50,1040,0.929012
51,1032,0.927469
52,1024,0.925926
53,1024,0.924383
54,1016,0.92284
55,1008,0.921296
56,1000,0.919753
57,992,0.91821
58,984,0.916667
59,980,0.915123
60,972,0.91358
61,964,0.912037
62,956,0.910494
63,952,0.908951
64,944,0.907407
65,936,0.905864
66,932,0.904321
67,924,0.902778
68,916,0.901235
69,908,0.899691
70,900,0.898148
71,892,0.896605
72,888,0.895062
73,880,0.893519
74,872,0.891975
75,864,0.890432
76,856,0.888889
77,848,0.887346
78,840,0.885802
79,832,0.884259
80,824,0.882716
81,816,0.881173
82,808,0.87963
83,800,0.878086
84,792,0.876543
85,784,0.875
86,776,0.873457
87,768,0.871914
88,760,0.87037
89,752,0.868827
90,744,0.867284
91,736,0.865741
92,728,0.864198
93,724,0.862654
94,732,0.864198
95,724,0.862654
96,720,0.861111
97,712,0.859568
98,704,0.858025
99,704,0.856481
100,712,0.858025
101,704,0.856481
102,696,0.854938
103,688,0.853395
104,684,0.851852
105,680,0.850309
106,688,0.851852
107,680,0.850309
108,672,0.848765
109,664,0.847222
110,660,0.845679
111,652,0.844136
112,644,0.842593
113,636,0.841049
114,628,0.839506
115,624,0.837963
116,632,0.839506
117,624,0.837963
118,616,0.83642
119,616,0.834877
120,608,0.833333
121,600,0.83179
122,596,0.830247
123,592,0.828704
124,584,0.82716
125,576,0.825617
126,572,0.824074
127,564,0.822531
128,556,0.820988
129,548,0.819444
130,552,0.820988
131,560,0.822531
132,556,0.820988
133,564,0.822531
134,560,0.820988
135,556,0.819444
136,560,0.820988
137,568,0.822531
138,560,0.820988
139,552,0.819444
140,544,0.817901
141,536,0.816358
142,528,0.814815
143,520,0.813272
144,512,0.811728
145,508,0.810185
146,512,0.808642
147,516,0.807099
148,508,0.805556
149,500,0.804012
150,492,0.802469
151,484,0.800926
152,476,0.799383
153,468,0.79784
154,460,0.796296
155,464,0.79784
156,456,0.796296
157,448,0.794753
158,440,0.79321
159,432,0.791667
160,432,0.790123
161,428,0.78858
162,420,0.787037
163,428,0.78858
164,420,0.787037
165,416,0.785494
166,408,0.783951
167,400,0.782407
168,392,0.780864
169,384,0.779321
170,376,0.777778
171,368,0.776235
172,360,0.774691
173,352,0.773148
174,344,0.771605
175,336,0.770062
176,332,0.768519
177,328,0.766975
178,320,0.765432
179,312,0.763889
180,304,0.762346
181,296,0.760802
182,288,0.759259
183,284,0.757716
184,276,0.756173
185,272,0.75463
186,264,0.753086
187,264,0.751543
188,260,0.75
189,252,0.748457
190,244,0.746914
191,240,0.74537
192,236,0.743827
193,228,0.742284
194,220,0.740741
195,216,0.739198
196,212,0.737654
197,208,0.736111
198,204,0.734568
199,212,0.736111
200,204,0.734568
201,200,0.733025
202,192,0.731481
203,188,0.729938
204,180,0.728395
205,188,0.729938
206,184,0.728395
207,188,0.729938
208,196,0.731481
209,188,0.729938
210,184,0.728395
211,188,0.729938
212,180,0.728395
213,176,0.726852
214,168,0.725309
215,176,0.726852
216,176,0.725309
217,172,0.723765
218,168,0.722222
219,160,0.720679
220,156,0.719136
221,148,0.717593
222,140,0.716049
223,132,0.714506
224,124,0.712963
225,116,0.71142
226,124,0.712963
227,120,0.71142
228,112,0.709877
229,104,0.708333
230,96,0.70679
231,92,0.705247
232,84,0.703704
233,88,0.705247
234,84,0.703704
235,76,0.70216
236,68,0.700617
237,60,0.699074
238,52,0.697531
239,44,0.695988
240,44,0.694444
241,48,0.695988
242,40,0.694444
243,36,0.692901
244,32,0.691358
245,28,0.689815
246,24,0.688272
247,20,0.686728
248,16,0.685185
249,16,0.683642
250,24,0.685185
251,16,0.683642
252,8,0.682099
253,0,0.680556
254,0,0.680556
255,0,0.680556
256,0,0.680556
257,0,0.680556
258,0,0.680556
259,8,0.682099
260,4,0.680556
261,4,0.679012
262,0,0.677469
263,0,0.677469
264,0,0.677469
265,0,0.677469
266,0,0.677469
267,0,0.677469
268,0,0.677469
