10	1.62
20	1.82
30	1.73
40	2.07
50	2.24
60	1.8
70	2.13
80	1.98
90	2.11
100	2.02
110	2.19
120	2.1
130	2.11
140	2.17
150	2.21
160	2.14
170	2.07
180	2.39
190	2.34
200	2.23
210	2.23
220	2.39
230	2.22
240	2.2
250	2.18
260	2.31
270	2.23
280	2.32
290	2.03
300	2.38
310	2.16
320	1.97
330	2.27
340	2.23
350	2.3
360	2.15
370	2.23
380	2.28
390	2.25
400	2.28
410	2.38
420	2.08
430	2.22
440	2.1
450	2.44
460	2.11
470	2.34
480	2.14
490	2.14
500	2.15
510	2.2
520	1.95
530	2.18
540	2.09
550	2.21
560	1.98
570	2.26
580	2.17
590	2.55
600	2.27
610	2.23
620	2.31
630	2.19
640	2.48
650	2.35
660	2.37
670	2.21
680	2.17
690	2.57
700	2.26
710	2.17
720	2.16
730	2.34
740	2.17
750	2.25
760	2.12
770	2.23
780	2.28
790	2.07
800	2.23
810	2.06
820	2.21
830	2.31
840	2.27
850	2.12
860	2.22
870	2.36
880	2.25
890	2.31
900	2.34
910	2.39
920	2.44
930	2.24
940	2.36
950	2.46
960	2.15
970	2.34
980	2.44
990	2.13
1000	2.22
